judul,genre,year
Boomerang,Comedy|Romance,1992
Chungking Express (Chung Hing sam lam),Drama|Mystery|Romance,1994
Flirting With Disaster,Comedy,1996
"NeverEnding Story III, The",Adventure|Children|Fantasy,1994
Jupiter's Wife,Documentary,1994
Pie in the Sky,Comedy|Romance,1996
Jade,Thriller,1995
Down Periscope,Comedy,1996
Man of the Year,Documentary,1995
Up Close and Personal,Drama|Romance,1996
"Birdcage, The",Comedy,1996
"Brothers McMullen, The",Comedy,1995
Bad Boys,Action|Comedy|Crime|Drama|Thriller,1995
"Amazing Panda Adventure, The",Adventure|Children,1995
"Basketball Diaries, The",Drama,1995
"Awfully Big Adventure, An",Drama,1995
Amateur,Crime|Drama|Thriller,1994
Apollo 13,Adventure|Drama|IMAX,1995
Rob Roy,Action|Drama|Romance|War,1995
"Addiction, The",Drama|Horror,1995
Batman Forever,Action|Adventure|Comedy|Crime,1995
Beauty of the Day (Belle de jour),Drama,1967
Beyond Rangoon,Adventure|Drama|War,1995
Blue in the Face,Comedy|Drama,1995
Canadian Bacon,Comedy|War,1995
Casper,Adventure|Children,1995
Clockers,Crime|Drama|Mystery,1995
Congo,Action|Adventure|Mystery|Sci-Fi,1995
Crimson Tide,Drama|Thriller|War,1995
Crumb,Documentary,1994
Desperado,Action|Romance|Western,1995
Devil in a Blue Dress,Crime|Film-Noir|Mystery|Thriller,1995
Die Hard: With a Vengeance,Action|Crime|Thriller,1995
"Doom Generation, The",Comedy|Crime|Drama,1995
First Knight,Action|Drama|Romance,1995
Free Willy 2: The Adventure Home,Adventure|Children|Drama,1995
Hackers,Action|Adventure|Crime|Thriller,1995
Jeffrey,Comedy|Drama,1995
Johnny Mnemonic,Action|Sci-Fi|Thriller,1995
Judge Dredd,Action|Crime|Sci-Fi,1995
Jury Duty,Comedy,1995
Kids,Drama,1995
Living in Oblivion,Comedy,1995
Lord of Illusions,Horror,1995
Love & Human Remains,Comedy|Drama,1993
Mad Love,Drama|Romance,1995
Mallrats,Comedy|Romance,1995
Mighty Morphin Power Rangers: The Movie,Action|Children,1995
Mute Witness,Comedy|Horror|Thriller,1994
Nadja,Drama,1994
"Net, The",Action|Crime|Thriller,1995
Nine Months,Comedy|Romance,1995
Party Girl,Comedy,1995
"Prophecy, The",Fantasy|Horror|Mystery,1995
Reckless,Comedy|Fantasy,1995
Safe,Thriller,1995
"Scarlet Letter, The",Drama|Romance,1995
Showgirls,Drama,1995
Smoke,Comedy|Drama,1995
Something to Talk About,Comedy|Drama|Romance,1995
Species,Horror|Sci-Fi,1995
Strange Days,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,1995
"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",Drama|Musical|Romance,1964
Three Wishes,Drama|Fantasy,1995
Total Eclipse,Drama|Romance,1995
"To Wong Foo, Thanks for Everything! Julie Newmar",Comedy,1995
Under Siege 2: Dark Territory,Action,1995
Unstrung Heroes,Comedy|Drama,1995
Unzipped,Documentary,1995
"Walk in the Clouds, A",Drama|Romance,1995
Waterworld,Action|Adventure|Sci-Fi,1995
White Man's Burden,Drama,1995
Wild Bill,Western,1995
"Browning Version, The",Drama,1994
Bushwhacked,Adventure|Comedy|Crime|Mystery,1995
Burnt by the Sun (Utomlyonnye solntsem),Drama,1994
Before the Rain (Pred dozhdot),Drama|War,1994
Before Sunrise,Drama|Romance,1995
Billy Madison,Comedy,1995
"Babysitter, The",Drama|Thriller,1995
Boys on the Side,Comedy|Drama,1995
"Cure, The",Drama,1995
Castle Freak,Horror,1995
Circle of Friends,Drama|Romance,1995
Clerks,Comedy,1994
Don Juan DeMarco,Comedy|Drama|Romance,1995
Disclosure,Drama|Thriller,1994
Drop Zone,Action|Thriller,1994
Destiny Turns on the Radio,Comedy,1995
Death and the Maiden,Drama|Thriller,1994
Dolores Claiborne,Drama|Thriller,1995
Dumb & Dumber (Dumb and Dumber),Adventure|Comedy,1994
Eat Drink Man Woman (Yin shi nan nu),Comedy|Drama|Romance,1994
Exotica,Drama,1994
Exit to Eden,Comedy,1994
Ed Wood,Comedy|Drama,1994
French Kiss,Action|Comedy|Romance,1995
Forget Paris,Comedy|Romance,1995
Far From Home: The Adventures of Yellow Dog,Adventure|Children,1995
"Goofy Movie, A",Animation|Children|Comedy|Romance,1995
Hideaway,Thriller,1995
Fluke,Children|Drama,1995
Farinelli: il castrato,Drama|Musical,1994
Gordy,Children|Comedy|Fantasy,1995
Hoop Dreams,Documentary,1994
Heavenly Creatures,Crime|Drama,1994
Houseguest,Comedy,1994
Immortal Beloved,Drama|Romance,1994
Heavyweights (Heavy Weights),Children|Comedy,1995
"Hunted, The",Action,1995
I.Q.,Comedy|Romance,1994
Interview with the Vampire: The Vampire Chronicles,Drama|Horror,1994
Jefferson in Paris,Drama,1995
"Jerky Boys, The",Comedy,1995
Junior,Comedy|Sci-Fi,1994
Just Cause,Mystery|Thriller,1995
"Kid in King Arthur's Court, A",Adventure|Children|Comedy|Fantasy|Romance,1995
Kiss of Death,Crime|Drama|Thriller,1995
Star Wars: Episode IV - A New Hope,Action|Adventure|Sci-Fi,1977
Little Women,Drama,1994
"Little Princess, A",Children|Drama,1995
Ladybird Ladybird,Drama,1994
Like Water for Chocolate (Como agua para chocolate),Drama|Fantasy|Romance,1992
Legends of the Fall,Drama|Romance|War|Western,1994
Major Payne,Comedy,1995
My Crazy Life (Mi vida loca),Drama,1993
Love Affair,Drama|Romance,1994
Losing Isaiah,Drama,1995
"Madness of King George, The",Comedy|Drama,1994
Mary Shelley's Frankenstein (Frankenstein),Drama|Horror|Sci-Fi,1994
Man of the House,Comedy,1995
Mixed Nuts,Comedy,1994
Milk Money,Comedy|Romance,1994
Miracle on 34th Street,Drama,1994
Miami Rhapsody,Comedy,1995
My Family,Drama,1995
Murder in the First,Drama|Thriller,1995
Nobody's Fool,Comedy|Drama|Romance,1994
Nell,Drama,1994
New Jersey Drive,Crime|Drama,1995
New York Cop (Nyû Yôku no koppu),Action|Crime,1993
Beyond Bedlam,Drama|Horror,1993
Nina Takes a Lover,Comedy|Romance,1994
Natural Born Killers,Action|Crime|Thriller,1994
Only You,Comedy|Romance,1994
Once Were Warriors,Crime|Drama,1994
Poison Ivy II,Drama|Thriller,1996
Outbreak,Action|Drama|Sci-Fi|Thriller,1995
Léon: The Professional (a.k.a. The Professional) (Léon),Action|Crime|Drama|Thriller,1994
"Perez Family, The",Comedy|Romance,1995
"Pyromaniac's Love Story, A",Comedy|Romance,1995
Pulp Fiction,Comedy|Crime|Drama|Thriller,1994
Pushing Hands (Tui shou),Drama,1992
Priest,Drama,1994
Quiz Show,Drama,1994
Picture Bride (Bijo photo),Drama|Romance,1994
"Queen Margot (Reine Margot, La)",Drama|Romance,1994
"Quick and the Dead, The",Action|Thriller|Western,1995
Roommates,Comedy|Drama,1995
Ready to Wear (Pret-A-Porter),Comedy,1994
Three Colors: Red (Trois couleurs: Rouge),Drama,1994
Three Colors: Blue (Trois couleurs: Bleu),Drama,1993
Three Colors: White (Trzy kolory: Bialy),Comedy|Drama,1994
Rent-a-Kid,Comedy,1995
Relative Fear,Horror|Thriller,1994
Stuart Saves His Family,Comedy,1995
"Swan Princess, The",Animation|Children,1994
"Secret of Roan Inish, The",Children|Drama|Fantasy|Mystery,1994
"Specialist, The",Action|Drama|Thriller,1994
Stargate,Action|Adventure|Sci-Fi,1994
"Santa Clause, The",Comedy|Drama|Fantasy,1994
"Shawshank Redemption, The",Crime|Drama,1994
Shallow Grave,Comedy|Drama|Thriller,1994
Suture,Film-Noir|Thriller,1993
Strawberry and Chocolate (Fresa y chocolate),Drama,1993
Swimming with Sharks,Comedy|Drama,1995
"Sum of Us, The",Comedy|Drama,1994
National Lampoon's Senior Trip,Comedy,1995
To Live (Huozhe),Drama,1994
Tank Girl,Action|Comedy|Sci-Fi,1995
Tales from the Crypt Presents: Demon Knight,Horror|Thriller,1995
Star Trek: Generations,Adventure|Drama|Sci-Fi,1994
Tales from the Hood,Action|Crime|Horror,1995
Tom & Viv,Drama,1994
Village of the Damned,Horror|Sci-Fi,1995
Tommy Boy,Comedy,1995
Vanya on 42nd Street,Drama,1994
Underneath,Mystery|Thriller,1995
"Walking Dead, The",Drama|War,1995
What's Eating Gilbert Grape,Drama,1993
Virtuosity,Action|Sci-Fi|Thriller,1995
While You Were Sleeping,Comedy|Romance,1995
"War, The",Adventure|Drama|War,1994
Double Happiness,Drama,1994
Muriel's Wedding,Comedy,1994
"Baby-Sitters Club, The",Children,1995
Ace Ventura: Pet Detective,Comedy,1994
"Adventures of Priscilla, Queen of the Desert, The",Comedy|Drama,1994
Backbeat,Drama|Musical,1993
Bitter Moon,Drama|Film-Noir|Romance,1992
Bullets Over Broadway,Comedy,1994
Clear and Present Danger,Action|Crime|Drama|Thriller,1994
"Client, The",Drama|Mystery|Thriller,1994
"Corrina, Corrina",Comedy|Drama|Romance,1994
Crooklyn,Comedy|Drama,1994
"Crow, The",Action|Crime|Fantasy|Thriller,1994
Cobb,Drama,1994
"Flintstones, The",Children|Comedy|Fantasy,1994
Forrest Gump,Comedy|Drama|Romance|War,1994
Four Weddings and a Funeral,Comedy|Romance,1994
Higher Learning,Drama,1995
I Like It Like That,Comedy|Drama|Romance,1994
I Love Trouble,Action|Comedy,1994
It Could Happen to You,Comedy|Drama|Romance,1994
"Jungle Book, The",Adventure|Children|Romance,1994
"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die)",Documentary,1993
"Lion King, The",Adventure|Animation|Children|Drama|Musical|IMAX,1994
Little Buddha,Drama,1993
"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A)",Drama|Horror|Mystery|Thriller,1994
"Mask, The",Action|Comedy|Crime|Fantasy,1994
Maverick,Adventure|Comedy|Western,1994
Mrs. Parker and the Vicious Circle,Drama,1994
Naked Gun 33 1/3: The Final Insult,Action|Comedy,1994
"Paper, The",Comedy|Drama,1994
Reality Bites,Comedy|Drama|Romance,1994
Red Rock West,Thriller,1992
Richie Rich,Children|Comedy,1994
"River Wild, The",Action|Thriller,1994
Speed,Action|Romance|Thriller,1994
Speechless,Comedy|Romance,1994
Timecop,Action|Sci-Fi|Thriller,1994
True Lies,Action|Adventure|Comedy|Romance|Thriller,1994
When a Man Loves a Woman,Drama|Romance,1994
Wolf,Drama|Horror|Romance|Thriller,1994
Wyatt Earp,Western,1994
Bad Company,Action|Crime|Drama,1995
"Man of No Importance, A",Drama,1994
S.F.W.,Drama,1994
"Low Down Dirty Shame, A",Action|Comedy,1994
Boys Life,Drama,1995
"Colonel Chabert, Le",Drama|Romance|War,1994
Faster Pussycat! Kill! Kill!,Action|Crime|Drama,1965
Jason's Lyric,Crime|Drama,1994
Street Fighter,Action|Adventure|Fantasy,1994
Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension),Action|Fantasy,1994
Federal Hill,Drama,1994
In the Mouth of Madness,Horror|Thriller,1995
8 Seconds,Drama,1994
Above the Rim,Crime|Drama,1994
Addams Family Values,Children|Comedy|Fantasy,1993
"Age of Innocence, The",Drama,1993
Airheads,Comedy,1994
"Air Up There, The",Comedy,1994
Another Stakeout,Comedy|Thriller,1993
Bad Girls,Western,1994
Barcelona,Comedy|Romance,1994
Being Human,Drama,1993
"Beverly Hillbillies, The",Comedy,1993
Beverly Hills Cop III,Action|Comedy|Crime|Thriller,1994
Black Beauty,Adventure|Children|Drama,1994
Blink,Thriller,1994
Blown Away,Action|Thriller,1994
Blue Chips,Drama,1994
Blue Sky,Drama|Romance,1994
Body Snatchers,Horror|Sci-Fi|Thriller,1993
Boxing Helena,Drama|Mystery|Romance|Thriller,1993
"Bronx Tale, A",Drama,1993
Cabin Boy,Comedy,1994
Calendar Girl,Comedy|Drama,1993
Carlito's Way,Crime|Drama,1993
City Slickers II: The Legend of Curly's Gold,Adventure|Comedy|Western,1994
Clean Slate,Comedy,1994
Cliffhanger,Action|Adventure|Thriller,1993
Coneheads,Comedy|Sci-Fi,1993
Color of Night,Drama|Thriller,1994
Cops and Robbersons,Comedy,1994
"Cowboy Way, The",Action|Comedy|Drama,1994
Dave,Comedy|Romance,1993
Dazed and Confused,Comedy,1993
Demolition Man,Action|Adventure|Sci-Fi,1993
Even Cowgirls Get the Blues,Comedy|Romance,1993
Fatal Instinct,Comedy,1993
Farewell My Concubine (Ba wang bie ji),Drama|Romance,1993
Fearless,Drama,1993
Fear of a Black Hat,Comedy,1994
With Honors,Comedy|Drama,1994
Flesh and Bone,Drama|Mystery|Romance,1993
Widows' Peak,Drama,1994
For Love or Money,Comedy|Romance,1993
"Firm, The",Drama|Thriller,1993
Free Willy,Adventure|Children|Drama,1993
Fresh,Crime|Drama|Thriller,1994
"Fugitive, The",Thriller,1993
Geronimo: An American Legend,Drama|Western,1993
"Getaway, The",Action|Adventure|Crime|Drama|Romance|Thriller,1994
Getting Even with Dad,Comedy,1994
Go Fish,Drama|Romance,1994
Hard Target,Action|Adventure|Crime|Thriller,1993
Hot Shots! Part Deux,Action|Comedy|War,1993
Live Nude Girls,Comedy,1995
"Englishman Who Went Up a Hill But Came Down a Mountain, The",Comedy|Romance,1995
"House of the Spirits, The",Drama|Romance,1993
House Party 3,Comedy,1994
"Hudsucker Proxy, The",Comedy,1994
I'll Do Anything,Comedy|Drama,1994
In the Army Now,Comedy|War,1994
In the Line of Fire,Action|Thriller,1993
In the Name of the Father,Drama,1993
"Inkwell, The",Comedy|Drama,1994
What's Love Got to Do with It?,Drama|Musical,1993
Jimmy Hollywood,Comedy|Crime|Drama,1994
Judgment Night,Action|Crime|Thriller,1993
Jurassic Park,Action|Adventure|Sci-Fi|Thriller,1993
Kalifornia,Drama|Thriller,1993
Killing Zoe,Crime|Drama|Thriller,1994
Lassie,Adventure|Children,1994
Last Action Hero,Action|Adventure|Comedy|Fantasy,1993
Life with Mikey,Comedy,1993
Lightning Jack,Comedy|Western,1994
M. Butterfly,Drama|Romance,1993
Made in America,Comedy,1993
Malice,Thriller,1993
"Man Without a Face, The",Drama,1993
Manhattan Murder Mystery,Comedy|Mystery,1993
Menace II Society,Action|Crime|Drama,1993
Executive Decision,Action|Adventure|Thriller,1996
In the Realm of the Senses (Ai no corrida),Drama,1976
What Happened Was...,Comedy|Drama|Romance|Thriller,1994
Much Ado About Nothing,Comedy|Romance,1993
Mr. Wonderful,Comedy|Romance,1993
Mrs. Doubtfire,Comedy|Drama,1993
Naked,Drama,1993
"Next Karate Kid, The",Action|Children|Romance,1994
No Escape,Action|Drama|Sci-Fi,1994
North,Comedy,1994
Orlando,Drama|Fantasy|Romance,1992
"Perfect World, A",Crime|Drama|Thriller,1993
Philadelphia,Drama,1993
"Piano, The",Drama|Romance,1993
Poetic Justice,Drama,1993
"Program, The",Action|Drama,1993
"Puppet Masters, The",Horror|Sci-Fi,1994
Radioland Murders,Comedy|Mystery|Romance,1994
"Ref, The",Comedy,1994
"Remains of the Day, The",Drama|Romance,1993
Renaissance Man,Comedy|Drama,1994
Rising Sun,Action|Drama|Mystery,1993
"Road to Wellville, The",Comedy,1994
RoboCop 3,Action|Crime|Drama|Sci-Fi|Thriller,1993
Robin Hood: Men in Tights,Comedy,1993
Romeo Is Bleeding,Crime|Thriller,1993
Romper Stomper,Action|Drama,1992
Ruby in Paradise,Drama,1993
Rudy,Drama,1993
"Savage Nights (Nuits fauves, Les)",Drama,1992
Schindler's List,Drama|War,1993
"Scout, The",Comedy|Drama,1994
Searching for Bobby Fischer,Drama,1993
"Secret Garden, The",Children|Drama,1993
Serial Mom,Comedy|Crime|Horror,1994
"Shadow, The",Action|Adventure|Fantasy|Mystery,1994
Shadowlands,Drama|Romance,1993
Short Cuts,Drama,1993
"Simple Twist of Fate, A",Drama,1994
Sirens,Drama,1994
Six Degrees of Separation,Drama,1993
Sleepless in Seattle,Comedy|Drama|Romance,1993
Sliver,Thriller,1993
Blade Runner,Action|Sci-Fi|Thriller,1982
Son in Law,Comedy|Drama|Romance,1993
So I Married an Axe Murderer,Comedy|Romance|Thriller,1993
Striking Distance,Action|Crime,1993
Super Mario Bros.,Action|Adventure|Children|Comedy|Fantasy|Sci-Fi,1993
Surviving the Game,Action|Adventure|Thriller,1994
Terminal Velocity,Action|Mystery|Thriller,1994
Thirty-Two Short Films About Glenn Gould,Drama|Musical,1993
Threesome,Comedy|Romance,1994
"Nightmare Before Christmas, The",Animation|Children|Fantasy|Musical,1993
"Three Musketeers, The",Action|Adventure|Comedy|Romance,1993
Tombstone,Action|Drama|Western,1993
True Romance,Crime|Thriller,1993
"War Room, The",Documentary,1993
"Pagemaster, The",Action|Adventure|Animation|Children|Fantasy,1994
Welcome to the Dollhouse,Comedy|Drama,1995
Germinal,Drama|Romance,1993
Chasers,Comedy,1994
Kika,Comedy|Drama,1993
Bhaji on the Beach,Comedy|Drama,1993
Little Big League,Comedy|Drama,1994
"Ciao, Professore! (Io speriamo che me la cavo)",Drama,1992
Spanking the Monkey,Comedy|Drama,1994
"Little Rascals, The",Children|Comedy,1994
Andre,Adventure|Children|Drama,1994
"Escort, The (Scorta, La)",Crime|Thriller,1993
Princess Caraboo,Drama,1994
"Celluloid Closet, The",Documentary,1995
Dear Diary (Caro Diario),Comedy|Drama,1994
"Brady Bunch Movie, The",Comedy,1995
Home Alone,Children|Comedy,1990
Ghost,Comedy|Drama|Fantasy|Romance|Thriller,1990
Aladdin,Adventure|Animation|Children|Comedy|Musical,1992
Terminator 2: Judgment Day,Action|Sci-Fi,1991
Dances with Wolves,Adventure|Drama|Western,1990
Batman,Action|Crime|Thriller,1989
"Silence of the Lambs, The",Crime|Horror|Thriller,1991
Snow White and the Seven Dwarfs,Animation|Children|Drama|Fantasy|Musical,1937
Beauty and the Beast,Animation|Children|Fantasy|Musical|Romance|IMAX,1991
Pinocchio,Animation|Children|Fantasy|Musical,1940
Pretty Woman,Comedy|Romance,1990
"Wild Bunch, The",Adventure|Western,1969
Love and a .45,Action|Comedy|Crime,1994
"Great Day in Harlem, A",Documentary,1994
One Fine Day,Drama|Romance,1996
Candyman: Farewell to the Flesh,Fantasy|Horror,1995
Fargo,Comedy|Crime|Drama|Thriller,1996
Homeward Bound II: Lost in San Francisco,Adventure|Children,1996
Heavy Metal,Action|Adventure|Animation|Horror|Sci-Fi,1981
Hellraiser: Bloodline,Action|Horror|Sci-Fi,1996
"Pallbearer, The",Comedy,1996
Jane Eyre,Drama|Romance,1996
Bread and Chocolate (Pane e cioccolata),Comedy|Drama,1973
"Aristocats, The",Animation|Children,1970
"Flower of My Secret, The (La flor de mi secreto)",Comedy|Drama,1995
Two Much,Comedy|Romance,1995
Ed,Comedy,1996
"Thin Line Between Love and Hate, A",Comedy,1996
"Last Supper, The",Drama|Thriller,1995
Primal Fear,Crime|Drama|Mystery|Thriller,1996
All Dogs Go to Heaven 2,Adventure|Animation|Children|Fantasy|Musical|Romance,1996
Land and Freedom (Tierra y libertad),Drama|War,1995
Denise Calls Up,Comedy,1995
Theodore Rex,Comedy,1995
"Family Thing, A",Comedy|Drama,1996
Frisk,Drama,1995
Sgt. Bilko,Comedy,1996
Jack and Sarah,Romance,1995
Girl 6,Comedy|Drama,1996
Diabolique,Drama|Thriller,1996
Nelly & Monsieur Arnaud,Drama,1995
Courage Under Fire,Action|Crime|Drama|War,1996
Mission: Impossible,Action|Adventure|Mystery|Thriller,1996
Cold Fever (Á köldum klaka),Comedy|Drama,1995
Moll Flanders,Drama,1996
Dragonheart,Action|Adventure|Fantasy,1996
Eddie,Comedy,1996
James and the Giant Peach,Adventure|Animation|Children|Fantasy|Musical,1996
Fear,Thriller,1996
Kids in the Hall: Brain Candy,Comedy,1996
Underground,Comedy|Drama|War,1995
Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite),Action,1996
Song of the Little Road (Pather Panchali),Drama,1955
"World of Apu, The (Apur Sansar)",Drama,1959
Mystery Science Theater 3000: The Movie,Comedy|Sci-Fi,1996
Space Jam,Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi,1996
Barbarella,Adventure|Comedy|Sci-Fi,1968
Some Folks Call It a Sling Blade,Drama|Thriller,1993
"Run of the Country, The",Drama,1995
"Alphaville (Alphaville, une étrange aventure de Lemmy Caution)",Drama|Mystery|Romance|Sci-Fi|Thriller,1965
It's My Party,Drama,1996
Operation Dumbo Drop,Action|Adventure|Comedy|War,1995
Mrs. Winterbourne,Comedy|Romance,1996
Solo,Action|Sci-Fi|Thriller,1996
"Substitute, The",Action|Crime|Drama,1996
True Crime,Mystery|Thriller,1996
Feeling Minnesota,Drama|Romance,1996
Delta of Venus,Drama,1995
Angus,Comedy,1995
Boys,Drama,1996
"Quest, The",Action|Adventure,1996
Sunset Park,Drama,1996
Mulholland Falls,Crime|Drama|Thriller,1996
"Truth About Cats & Dogs, The",Comedy|Romance,1996
Oliver & Company,Adventure|Animation|Children|Comedy|Musical,1988
Celtic Pride,Comedy,1996
Flipper,Adventure|Children,1996
Dead Man,Drama|Mystery|Western,1995
"Horseman on the Roof, The (Hussard sur le toit, Le)",Drama|Romance,1995
"Visitors, The (Visiteurs, Les)",Comedy|Fantasy|Sci-Fi,1993
Multiplicity,Comedy,1996
Wallace & Gromit: The Best of Aardman Animation,Adventure|Animation|Comedy,1996
"Haunted World of Edward D. Wood Jr., The",Documentary,1996
"Craft, The",Drama|Fantasy|Horror|Thriller,1996
"Great White Hype, The",Comedy,1996
Last Dance,Drama,1996
Cold Comfort Farm,Comedy,1995
Heaven's Prisoners,Crime|Thriller,1996
"Rock, The",Action|Adventure|Thriller,1996
Cemetery Man (Dellamorte Dellamore),Horror,1994
Twister,Action|Adventure|Romance|Thriller,1996
Barb Wire,Action|Sci-Fi,1996
Ghost in the Shell (Kôkaku kidôtai),Animation|Sci-Fi,1995
Thinner,Horror|Thriller,1996
Spy Hard,Comedy,1996
Wallace & Gromit: A Close Shave,Animation|Children|Comedy,1995
"Stupids, The",Comedy,1996
"Arrival, The",Action|Sci-Fi|Thriller,1996
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Comedy|War,1964
Ashes of Time (Dung che sai duk),Drama,1994
Maya Lin: A Strong Clear Vision,Documentary,1994
Stalingrad,Drama|War,1993
"Phantom, The",Action|Adventure,1996
Striptease,Comedy|Crime,1996
Heavy,Drama|Romance,1995
Jack,Comedy|Drama,1996
I Shot Andy Warhol,Drama,1996
Touki Bouki,Drama,1973
Spirits of the Dead,Horror|Mystery,1968
Trainspotting,Comedy|Crime|Drama,1996
'Til There Was You,Drama|Romance,1997
Independence Day (a.k.a. ID4),Action|Adventure|Sci-Fi|Thriller,1996
Stealing Beauty,Drama,1996
"Fan, The",Drama|Thriller,1996
"Hunchback of Notre Dame, The",Animation|Children|Drama|Musical|Romance,1996
"Cable Guy, The",Comedy|Thriller,1996
Kingpin,Comedy,1996
Eraser,Action|Drama|Thriller,1996
"Nutty Professor, The",Comedy|Fantasy|Romance|Sci-Fi,1996
